Time.ms,cue_type,trial_type,value_cat,experiment,m_prop_looking
900,vocalization,disambiguation,Target,e2,0.6090225563909775
900,vocalization,familiar,Distractor,e1,0.39111111111111113
900,vocalization,familiar,Distractor,e2,0.33076923076923076
900,vocalization,familiar,Target,e1,0.6088888888888889
900,vocalization,familiar,Target,e2,0.6692307692307692
900,vocalization,retention,Distractor,e2,0.5432098765432098
900,vocalization,retention,Target,e2,0.4567901234567901
933,name,disambiguation,Distractor,e1,0.30952380952380953
933,name,disambiguation,Target,e1,0.6904761904761905
933,name,familiar,Distractor,e1,0.31297709923664124
933,name,familiar,Target,e1,0.6870229007633588
933,onomatopoeic,familiar,Distractor,e1,0.375
933,onomatopoeic,familiar,Target,e1,0.625
933,vocalization,disambiguation,Distractor,e1,0.39473684210526316
933,vocalization,disambiguation,Distractor,e2,0.37037037037037035
933,vocalization,disambiguation,Target,e1,0.6052631578947368
933,vocalization,disambiguation,Target,e2,0.6296296296296297
933,vocalization,familiar,Distractor,e1,0.3738738738738739
933,vocalization,familiar,Distractor,e2,0.3282442748091603
933,vocalization,familiar,Target,e1,0.6261261261261262
933,vocalization,familiar,Target,e2,0.6717557251908397
933,vocalization,retention,Distractor,e2,0.5542168674698795
933,vocalization,retention,Target,e2,0.4457831325301205
967,name,disambiguation,Distractor,e1,0.30864197530864196
967,name,disambiguation,Target,e1,0.691358024691358
967,name,familiar,Distractor,e1,0.3283582089552239
967,name,familiar,Target,e1,0.6716417910447762
967,onomatopoeic,familiar,Distractor,e1,0.3770491803278688
967,onomatopoeic,familiar,Target,e1,0.6229508196721312
967,vocalization,disambiguation,Distractor,e1,0.40869565217391307
967,vocalization,disambiguation,Distractor,e2,0.3609022556390977
967,vocalization,disambiguation,Target,e1,0.591304347826087
967,vocalization,disambiguation,Target,e2,0.6390977443609023
967,vocalization,familiar,Distractor,e1,0.36607142857142855
967,vocalization,familiar,Distractor,e2,0.33076923076923076
967,vocalization,familiar,Target,e1,0.6339285714285714
967,vocalization,familiar,Target,e2,0.6692307692307692
967,vocalization,retention,Distractor,e2,0.5595238095238095
967,vocalization,retention,Target,e2,0.44047619047619047
1e3,name,disambiguation,Distractor,e1,0.3103448275862069
1e3,name,disambiguation,Target,e1,0.6896551724137931
1e3,name,familiar,Distractor,e1,0.3383458646616541
1e3,name,familiar,Target,e1,0.6616541353383458
1e3,onomatopoeic,familiar,Distractor,e1,0.35537190082644626
1e3,onomatopoeic,familiar,Target,e1,0.6446280991735537
1e3,vocalization,disambiguation,Distractor,e1,0.38596491228070173
1e3,vocalization,disambiguation,Distractor,e2,0.3609022556390977
1e3,vocalization,disambiguation,Target,e1,0.6140350877192983
1e3,vocalization,disambiguation,Target,e2,0.6390977443609023
1e3,vocalization,familiar,Distractor,e1,0.35555555555555557
1e3,vocalization,familiar,Distractor,e2,0.33587786259541985
1e3,vocalization,familiar,Target,e1,0.6444444444444445
1e3,vocalization,familiar,Target,e2,0.6641221374045801
1e3,vocalization,retention,Distractor,e2,0.5542168674698795
1e3,vocalization,retention,Target,e2,0.4457831325301205
1033,name,disambiguation,Distractor,e1,0.3068181818181818
1033,name,disambiguation,Target,e1,0.6931818181818182
1033,name,familiar,Distractor,e1,0.3308270676691729
1033,name,familiar,Target,e1,0.6691729323308271
1033,onomatopoeic,familiar,Distractor,e1,0.35
1033,onomatopoeic,familiar,Target,e1,0.65
1033,vocalization,disambiguation,Distractor,e1,0.3879310344827586
1033,vocalization,disambiguation,Distractor,e2,0.35555555555555557
1033,vocalization,disambiguation,Target,e1,0.6120689655172413
1033,vocalization,disambiguation,Target,e2,0.6444444444444445
1033,vocalization,familiar,Distractor,e1,0.34934497816593885
1033,vocalization,familiar,Distractor,e2,0.33076923076923076
1033,vocalization,familiar,Target,e1,0.6506550218340611
1033,vocalization,familiar,Target,e2,0.6692307692307692
1033,vocalization,retention,Distractor,e2,0.5476190476190477
1033,vocalization,retention,Target,e2,0.4523809523809524
